№	Название	Административный округ	Тип мунобразования	Код ОКАТО	Код ОКТМО
74	Останкинский	СВАО	Муниципальный округ	45280572	45358000
75	Отрадное	СВАО	Муниципальный округ	45280574	45359000
76	Очаково-Матвеевское	ЗАО	Муниципальный округ	45268579	45323000
77	Перово	ВАО	Муниципальный округ	45263583	45312000
78	Печатники	ЮВАО	Муниципальный округ	45290582	45393000
79	Покровское-Стрешнево	СЗАО	Муниципальный округ	45283569	45368000
80	Преображенское	ВАО	Муниципальный округ	45263594	45316000
81	Пресненский	ЦАО	Муниципальный округ	45286575	45380000
82	Проспект Вернадского	ЗАО	Муниципальный округ	45268581	45324000
83	Раменки	ЗАО	Муниципальный округ	45268584	45325000
84	Ростокино	СВАО	Муниципальный округ	45280577	45360000
85	Рязанский	ЮВАО	Муниципальный округ	45290586	45394000
86	Савёлки	ЗелАО	Муниципальный округ	45272568	45377000
87	Савёловский	САО	Муниципальный округ	45277586	45344000
88	Свиблово	СВАО	Муниципальный округ	45280580	45361000
89	Северное Бутово	ЮЗАО	Муниципальный округ	45293582	45906000
90	Северное Измайлово	ВАО	Муниципальный округ	45263585	45313000
91	Северное Медведково	СВАО	Муниципальный округ	45280583	45362000
92	Северное Тушино	СЗАО	Муниципальный округ	45283573	45369000
93	Северный	СВАО	Муниципальный округ	45280585	45363000
94	Силино	ЗелАО	Муниципальный округ	45272572	45332000
95	Сокол	САО	Муниципальный округ	45277589	45345000
96	Соколиная Гора	ВАО	Муниципальный округ	45263588	45314000
97	Сокольники	ВАО	Муниципальный округ	45263591	45315000
98	Солнцево	ЗАО	Муниципальный округ	45268588	45326000
99	Старое Крюково	ЗелАО	Муниципальный округ	45272576	45927000
100	Строгино	СЗАО	Муниципальный округ	45283577	45370000
101	Таганский	ЦАО	Муниципальный округ	45286580	45381000
102	Тверской	ЦАО	Муниципальный округ	45286585	45382000
103	Текстильщики	ЮВАО	Муниципальный округ	45290590	45395000
104	Тёплый Стан	ЮЗАО	Муниципальный округ	45293586	45907000
105	Тимирязевский	САО	Муниципальный округ	45277592	45346000
106	Тропарёво-Никулино	ЗАО	Муниципальный округ	45268592	45327000
107	Филёвский Парк	ЗАО	Муниципальный округ	45268595	45328000
108	Фили-Давыдково	ЗАО	Муниципальный округ	45268597	45329000
109	Хамовники	ЦАО	Муниципальный округ	45286590	45383000
110	Ховрино	САО	Муниципальный округ	45277595	45347000
111	Хорошёво-Мнёвники	СЗАО	Муниципальный округ	45283582	45371000
112	Хорошёвский	САО	Муниципальный округ	45277598	45348000
113	Царицыно	ЮАО	Муниципальный округ	45296590	45923000
114	Черёмушки	ЮЗАО	Муниципальный округ	45293590	45908000
115	Чертаново Северное	ЮАО	Муниципальный округ	45296593	45924000
116	Чертаново Центральное	ЮАО	Муниципальный округ	45296595	45925000
117	Чертаново Южное	ЮАО	Муниципальный округ	45296597	45926000
118	Щукино	СЗАО	Муниципальный округ	45283587	45372000
119	Южное Бутово	ЮЗАО	Муниципальный округ	45293594	45909000
120	Южное Медведково	СВАО	Муниципальный округ	45280594	45364000
121	Южное Тушино	СЗАО	Муниципальный округ	45283593	45373000
122	Южнопортовый	ЮВАО	Муниципальный округ	45290594	45396000
123	Якиманка	ЦАО	Муниципальный округ	45286596	45384000
124	Ярославский	СВАО	Муниципальный округ	45280597	45365000
125	Ясенево	ЮЗАО	Муниципальный округ	45293598	45910000
126	Троицк	Троицкий	Городской округ	45298578	45931000
127	Щербинка	Новомосковский	Городской округ	45297581	45932000
128	"""Мосрентген"""	Новомосковский	Поселение	45297568	45953000
129	Внуковское	Новомосковский	Поселение	45297552	45941000
130	Вороновское	Троицкий	Поселение	45298553	45943000
131	Воскресенское	Новомосковский	Поселение	45297554	45942000
132	Десёновское	Новомосковский	Поселение	45297556	45944000
133	Киевский	Троицкий	Поселение	45298555	45945000
134	Клёновское	Троицкий	Поселение	45298558	45946000
135	Кокошкино	Новомосковский	Поселение	45297559	45947000
136	Краснопахорское	Троицкий	Поселение	45298561	45948000
137	Марушкинское	Новомосковский	Поселение	45297562	45949000
138	Михайлово-Ярцевское	Троицкий	Поселение	45298564	45951000
139	Московский	Новомосковский	Поселение	45297565	45952000
140	Новофёдоровское	Троицкий	Поселение	45298567	45954000
141	Первомайское	Троицкий	Поселение	45298572	45955000
142	Роговское	Троицкий	Поселение	45298575	45956000
143	Рязановское	Новомосковский	Поселение	45297571	45957000
144	Сосенское	Новомосковский	Поселение	45297574	45958000
145	Филимонковское	Новомосковский	Поселение	45297577	45959000
146	Щаповское	Троицкий	Поселение	45298583	45961000
